tissue,n_egenes
Adipose_Subcutaneous,61
Adipose_Visceral_Omentum,25
Adrenal_Gland,54
Artery_Aorta,56
Artery_Coronary,1
Artery_Tibial,106
Brain_Amygdala,6
Brain_Anterior_cingulate_cortex_BA24,2
Brain_Caudate_basal_ganglia,21
Brain_Cerebellar_Hemisphere,42
Brain_Cerebellum,136
Brain_Cortex,24
Brain_Frontal_Cortex_BA9,11
Brain_Hippocampus,3
Brain_Hypothalamus,8
Brain_Nucleus_accumbens_basal_ganglia,14
Brain_Putamen_basal_ganglia,6
Brain_Spinal_cord_cervical_c-1,29
Brain_Substantia_nigra,4
Breast_Mammary_Tissue,11
Cells_Cultured_fibroblasts,387
Cells_EBV-transformed_lymphocytes,40
Colon_Sigmoid,24
Colon_Transverse,41
Esophagus_Gastroesophageal_Junction,4
Esophagus_Mucosa,211
Esophagus_Muscularis,33
Heart_Atrial_Appendage,57
Heart_Left_Ventricle,38
Kidney_Cortex,6
Liver,87
Lung,79
Minor_Salivary_Gland,11
Muscle_Skeletal,347
Nerve_Tibial,218
Ovary,16
Pancreas,123
Pituitary,81
Prostate,19
Skin_Not_Sun_Exposed_Suprapubic,61
Skin_Sun_Exposed_Lower_leg,147
Small_Intestine_Terminal_Ileum,7
Spleen,65
Stomach,28
Testis,1235
Thyroid,366
Uterus,2
Vagina,3
Whole_Blood,575
