tissue,n_egenes,group
Whole_Blood,423,Tissues
Cells_Cultured_fibroblasts,319,Tissues
Thyroid,344,Tissues
Spleen,62,Tissues
Testis,1137,Tissues
Nerve_Tibial,241,Tissues
Muscle_Skeletal,254,Tissues
Esophagus_Muscularis,41,Tissues
Artery_Tibial,106,Tissues
Esophagus_Mucosa,178,Tissues
Colon_Sigmoid,17,Tissues
Brain_Cerebellum,98,Tissues
Pancreas,99,Tissues
Skin_Not_Sun_Exposed_Suprapubic,67,Tissues
Skin_Sun_Exposed_Lower_leg,136,Tissues
Lung,82,Tissues
Heart_Atrial_Appendage,51,Tissues
Adipose_Subcutaneous,69,Tissues
Adipose_Visceral_Omentum,36,Tissues
Brain_Frontal_Cortex_BA9,15,Tissues
Brain_Cerebellar_Hemisphere,49,Tissues
Artery_Aorta,48,Tissues
Liver,73,Tissues
Colon_Transverse,46,Tissues
Adrenal_Gland,40,Tissues
Brain_Nucleus_accumbens_basal_ganglia,25,Tissues
Prostate,21,Tissues
Heart_Left_Ventricle,27,Tissues
Pituitary,67,Tissues
Cells_EBV-transformed_lymphocytes,35,Tissues
Breast_Mammary_Tissue,18,Tissues
Brain_Cortex,25,Tissues
Minor_Salivary_Gland,11,Tissues
Brain_Substantia_nigra,6,Tissues
Brain_Spinal_cord_cervical_c-1,19,Tissues
Stomach,31,Tissues
Brain_Putamen_basal_ganglia,14,Tissues
Ovary,11,Tissues
Artery_Coronary,4,Tissues
Small_Intestine_Terminal_Ileum,10,Tissues
Esophagus_Gastroesophageal_Junction,5,Tissues
Brain_Hypothalamus,5,Tissues
Brain_Caudate_basal_ganglia,25,Tissues
Brain_Anterior_cingulate_cortex_BA24,5,Tissues
Kidney_Cortex,7,Tissues
Brain_Amygdala,3,Tissues
Brain_Hippocampus,4,Tissues
